SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,04/08/2025,"2,875.36","2,890.05","2,832.60",-16.46,-0.57%,"3,002.07","2,464.40","10,636,098,691.00","20,028,734","146,973"
2,03/08/2025,"2,858.90","2,923.88","2,856.95",(-63.73),(-2.18 %),"3,002.07","2,464.40","12,846,372,470.40","22,783,759","149,633"
3,31/07/2025,"2,922.63","2,967.03","2,915.47",(-31.50),(-1.06 %),"3,002.07","2,464.40","15,365,337,571.50","26,855,521","165,126"
4,30/07/2025,"2,954.14","3,020.17","2,947.71",(-47.93),(-1.59 %),"3,002.07","2,464.40","16,182,438,963.58","28,528,560","138,793"
5,29/07/2025,"3,002.07","3,028.79","2,976.00",-30.76,-1.03%,"3,002.07","2,464.40","18,243,440,505.10","34,109,134","153,738"
6,28/07/2025,"2,971.31","2,976.92","2,917.51",-7.1,-0.23%,"3,000.81","2,464.40","18,750,130,986.65","35,700,395","167,067"
7,27/07/2025,"2,964.20","3,013.17","2,958.34",(-18.44),(-0.61 %),"3,000.81","2,464.40","25,960,977,778.94","49,755,874","200,176"
8,24/07/2025,"2,982.64","2,990.45","2,963.79",-3.76,-0.12%,"3,000.81","2,464.40","18,134,209,303.15","34,824,472","151,290"
9,23/07/2025,"2,978.88","2,992.26","2,947.86",-5.17,-0.17%,"3,000.81","2,464.40","19,107,990,430.85","38,661,196","166,700"
10,22/07/2025,"2,973.70","2,975.77","2,894.48",-80.97,-2.79%,"3,000.81","2,464.40","19,828,082,730.70","37,910,679","174,288"
11,21/07/2025,"2,892.72","2,902.94","2,856.88",-21.76,-0.75%,"3,000.81","2,464.40","16,103,444,184.40","29,239,998","136,811"
12,20/07/2025,"2,870.95","2,922.84","2,861.06",-0.32,-0.01%,"3,000.81","2,424.32","20,960,747,612.70","40,896,792","175,081"
13,17/07/2025,"2,870.63","2,878.77","2,796.58",-75.84,-2.71%,"3,000.81","2,364.63","16,308,096,218.10","32,114,421","138,888"
14,16/07/2025,"2,794.78","2,803.78","2,759.11",-34.61,-1.25%,"3,000.81","2,310.59","13,579,663,848.05","27,202,862","96,678"
15,15/07/2025,"2,760.17","2,763.27","2,724.90",-34.46,-1.26%,"3,000.81","2,240.41","8,683,161,091.63","17,711,811","72,129"
16,14/07/2025,"2,725.71","2,765.91","2,723.82",(-35.09),(-1.27 %),"3,000.81","2,240.41","7,926,695,604.40","16,663,358","71,072"
17,13/07/2025,"2,760.80","2,798.75","2,757.89",-29,-1.06%,"3,000.81","2,204.61","11,194,847,876.70","24,217,321","103,427"
18,10/07/2025,"2,731.80","2,743.09","2,706.89",-25.89,-0.95%,"3,000.81","2,175.40","9,504,383,742.30","20,118,846","87,100"
19,09/07/2025,"2,705.90","2,707.91","2,679.16",-22.04,-0.82%,"3,000.81","2,152.14","7,340,663,810.10","13,262,077","61,635"
20,08/07/2025,"2,683.86","2,690.13","2,662.59",(-0.14),0.00%,"3,000.81","2,136.35","6,273,571,194.47","11,058,958","55,187"
21,07/07/2025,"2,684.01","2,718.10","2,680.45",(-22.35),(-0.82 %),"3,000.81","2,136.35","8,259,553,722.01","14,629,779","69,982"
22,06/07/2025,"2,706.36","2,722.33","2,697.32",-2.4,-0.08%,"3,000.81","2,119.70","8,920,655,213.20","16,392,751","85,976"
23,03/07/2025,"2,703.96","2,716.93","2,685.77",-9.14,-0.33%,"3,000.81","2,104.22","9,380,753,537.37","18,648,890","94,811"
